"","R15-002","R15-006","R15-007","R15-008","R15-009","R15-010(1)","R15-010(2)","R16-003-03","R16-004-01(1)","R16-005-01","R16-006-01","R17-001-02","R17-002-01","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01(1)","R18-002-01(2)","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02(1)","R18-009-02(2)","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02(1)","R18-019-02(2)","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02","R18-027-03","R20-002","R20-003","R20-027","R20-027(S)","R20-047","Stem_Canker_2"
"R16-006-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.922991071428571,0.913429522752497,0.909040178571429,0.866101694915254,0.91046511627907,0.908826945412311,0.908426966292135,0.925884955752212,0.897252090800478,0.919977924944812,0.895809739524349,0.882730455075846,0.890196078431372,0.903846153846154,0.884009009009009,0.902834008097166,0.88231981981982,0.885931558935361,0.906938325991189,0.887299771167048,0.88,0.882537688442211,0.886904761904762,0.878504672897196,0.885964912280702,0.891408114558473,0.875444839857651,0.883666274970623,0.886571056062581,0.884017758046615,0.882389162561576,0.890765765765766,0.885714285714286,0.87906976744186,0.898921832884097,0.886666666666667,0.864957264957265,0.903607666290868,0.875453446191052,0.892288861689106,0.905837004405286,0.846649484536082,0.819220430107527,0.814528593508501,0.804016620498615,0.86104513064133,0.859411764705882
"R17-001-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917309812568909,0.906215316315205,0.856792144026187,0.926076833527357,0.895522388059702,0.911538461538462,0.931590656284761,0.905357142857143,0.919934640522876,0.890176600441501,0.867511520737327,0.874201787994891,0.889069264069264,0.866814650388457,0.874668435013263,0.882709251101322,0.864764267990074,0.891965255157438,0.868243243243243,0.886579572446556,0.894963144963145,0.872715404699739,0.880577427821522,0.879778051787916,0.871478873239437,0.892316647264261,0.885142857142857,0.88339670468948,0.87919826652221,0.867149758454106,0.887238723872387,0.885822510822511,0.860091743119266,0.881962864721485,0.882161458333333,0.857495881383855,0.880555555555556,0.878220140515222,0.872135102533173,0.898809523809524,0.831841432225064,0.822537112010796,0.826291079812207,0.791609353507565,0.845433255269321,0.848203939745075
"R17-002-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934298440979955,0.866610738255034,0.908932714617169,0.919075144508671,0.922777777777778,0.911666666666667,0.908333333333333,0.913186813186813,0.902575587905935,0.881533101045296,0.878728923476005,0.899017467248908,0.881431767337808,0.885234899328859,0.896436525612472,0.87406015037594,0.900984682713348,0.880113636363636,0.889820359281437,0.905,0.886631716906946,0.889257294429708,0.893125,0.886848341232227,0.890973036342321,0.88631090487239,0.900900900900901,0.897252747252747,0.872860635696821,0.899108138238573,0.890829694323144,0.871165644171779,0.908544726301736,0.901844532279315,0.872268907563025,0.88957399103139,0.887039239001189,0.890243902439024,0.910284463894967,0.841290322580645,0.828187919463087,0.821759259259259,0.802613480055021,0.857142857142857,0.857476635514019
"R17-002-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869601328903654,0.897887323943662,0.922584400465658,0.913504464285714,0.917960088691796,0.901913875598086,0.91034103410341,0.895622895622896,0.886759581881533,0.892347600518807,0.920218579234973,0.890134529147982,0.89622641509434,0.888888888888889,0.878616352201258,0.905908096280088,0.889647326507395,0.881642512077295,0.897243107769424,0.895256916996047,0.901464713715047,0.898125,0.902728351126928,0.890330188679245,0.899532710280374,0.905721716514954,0.894039735099338,0.877600979192167,0.901227678571429,0.90655737704918,0.882668711656442,0.912898936170213,0.889627659574468,0.88034188034188,0.901905829596413,0.887019230769231,0.897058823529412,0.909090909090909,0.845663265306122,0.84136546184739,0.830769230769231,0.815825375170532,0.866430260047281,0.86857476635514
"R17-002-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869337979094077,0.871666666666667,0.859634551495017,0.850506756756757,0.872302158273381,0.86198347107438,0.892092257001647,0.848006644518272,0.86426116838488,0.880913539967374,0.856085526315789,0.867957746478873,0.883415435139573,0.847635726795096,0.864157119476268,0.887335526315789,0.880434782608696,0.889256198347107,0.842857142857143,0.886759581881533,0.860445205479452,0.859454855195911,0.877668308702791,0.888613861386139,0.877326565143824,0.883360522022839,0.863481228668942,0.899180327868852,0.877650897226754,0.864312267657993,0.89336917562724,0.887858347386172,0.882874015748031,0.870033112582781,0.896147403685092,0.859560067681895,0.874388254486134,0.784294234592445,0.791666666666667,0.789405684754522,0.779379157427938,0.799270072992701,0.816876122082585
"R17-003-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891646489104116,0.906286379511059,0.916666666666667,0.914619164619165,0.909143518518518,0.899764150943396,0.859509202453988,0.866206896551724,0.891203703703704,0.864928909952607,0.863247863247863,0.886869871043376,0.846816976127321,0.868757259001161,0.871548619447779,0.896616541353383,0.899608865710561,0.87883008356546,0.876038781163435,0.864721485411141,0.862155388471178,0.89320987654321,0.879854368932039,0.892857142857143,0.899768250289687,0.860858257477243,0.895565927654609,0.872685185185185,0.867047308319739,0.884776536312849,0.885854341736695,0.863957597173145,0.872619047619048,0.889232673267327,0.878886010362694,0.88599537037037,0.826057298772169,0.816951566951567,0.812191103789127,0.795321637426901,0.827284105131414,0.833333333333333
"R17-004-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911149825783972,0.894675925925926,0.905897114178168,0.900921658986175,0.899415204678363,0.875916870415648,0.890146471371505,0.903318077803204,0.881903642773208,0.895138888888889,0.887981330221704,0.874836173001311,0.903559127439724,0.878859857482185,0.881727158948686,0.896774193548387,0.881181318681319,0.876551724137931,0.886100386100386,0.894478527607362,0.888014527845036,0.899038461538462,0.904100529100529,0.88704128440367,0.878616352201258,0.904872389791183,0.902173913043478,0.883386581469649,0.892706872370266,0.889795918367347,0.868421052631579,0.8968347010551,0.876225490196078,0.89125,0.905034324942792,0.838753387533875,0.828125,0.803807947019868,0.803519061583578,0.860696517412935,0.861623616236162
"R17-004-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909192825112108,0.937796208530806,0.934282584884994,0.902113459399333,0.869767441860465,0.872727272727273,0.895081967213115,0.875699888017917,0.883265856950067,0.894766146993318,0.875314861460957,0.884446878422782,0.867463026166098,0.899159663865546,0.911691542288557,0.881422924901186,0.883751651254954,0.879849812265332,0.877817319098458,0.896348645465253,0.892485549132948,0.900128040973111,0.895947426067908,0.867197062423501,0.89922480620155,0.891256830601093,0.873643410852713,0.902013422818792,0.883443708609272,0.863865546218487,0.877665544332211,0.895857988165681,0.881127450980392,0.906010928961749,0.836538461538462,0.822010869565217,0.821372854914197,0.813793103448276,0.84,0.838183934807916
"R17-005-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906586826347305,0.910694597574421,0.889390519187359,0.876312718786464,0.88036410923277,0.900876232201533,0.874719101123596,0.879865771812081,0.884139482564679,0.875474083438685,0.908791208791209,0.881984036488027,0.871065375302663,0.889585947302384,0.885430463576159,0.879839786381842,0.891875,0.882877526753864,0.888561320754717,0.878805620608899,0.888166449934981,0.877212389380531,0.865928659286593,0.884399551066218,0.893209200438116,0.883540372670807,0.886792452830189,0.877659574468085,0.856536502546689,0.879640044994376,0.879518072289157,0.885975609756098,0.913282107574094,0.845559845559846,0.837146702557201,0.829211746522411,0.810344827586207,0.852906287069988,0.862089201877934
"R17-007-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923668639053254,0.902761104441777,0.866834170854271,0.857545839210155,0.892307692307692,0.872289156626506,0.87316715542522,0.895083932853717,0.86468200270636,0.876631079478055,0.870828182941904,0.903225806451613,0.902536715620828,0.868829337094499,0.878340365682138,0.881401617250674,0.873563218390805,0.887261146496815,0.886306532663317,0.903292181069959,0.896797153024911,0.864485981308411,0.897959183673469,0.884615384615385,0.873333333333333,0.894736842105263,0.882014388489209,0.849090909090909,0.880170316301703,0.887626262626263,0.880764163372859,0.898224852071006,0.826685006877579,0.820143884892086,0.813934426229508,0.8,0.834610472541507,0.833754740834387
"R17-008-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888397790055249,0.881278538812785,0.885496183206107,0.892703862660944,0.86963696369637,0.87532981530343,0.878854625550661,0.868518518518518,0.889666307857912,0.874441964285714,0.870414201183432,0.874384236453202,0.877906976744186,0.869818652849741,0.884049079754601,0.881395348837209,0.877456647398844,0.878006872852234,0.875949367088608,0.877573131094258,0.873798076923077,0.881318681318681,0.884656652360515,0.871406959152799,0.898817345597897,0.869960988296489,0.853820598006645,0.890418502202643,0.868698710433763,0.882352941176471,0.897311827956989,0.844458438287154,0.819389110225764,0.832565284178187,0.802845528455285,0.855080831408776,0.854285714285714
"R18-002-01(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888760139049826,0.903100775193798,0.921686746987952,0.901123595505618,0.900671140939597,0.915830546265329,0.895885286783042,0.9,0.901023890784983,0.920768307322929,0.922360248447205,0.881201044386423,0.919712793733681,0.899500624219725,0.900591715976331,0.904705882352941,0.913494809688581,0.925096030729834,0.920504385964912,0.892900856793146,0.921753607103219,0.910186199342826,0.885736196319018,0.913129973474801,0.912614980289093,0.882207578253707,0.904494382022472,0.916372202591284,0.892204628501827,0.924972617743702,0.828145265888457,0.814890710382514,0.821086261980831,0.791201117318436,0.838671411625148,0.840749414519906
"R18-002-01(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916993464052288,0.902714932126697,0.913394919168591,0.902040816326531,0.88599537037037,0.903366583541147,0.914027149321267,0.895104895104895,0.880195599022005,0.893939393939394,0.901585204755614,0.883399209486166,0.91143216080402,0.908433734939759,0.891859052247874,0.879061371841155,0.878162450066578,0.880707762557078,0.904494382022472,0.895496535796767,0.901018099547511,0.914542728635682,0.893858477970627,0.896732026143791,0.852891156462585,0.917633410672854,0.883906633906634,0.906716417910448,0.912698412698413,0.846870838881491,0.840365682137834,0.82626427406199,0.802292263610315,0.864355231143552,0.865985576923077
"R18-003-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918136020151133,0.911352040816326,0.901536312849162,0.890322580645161,0.920408163265306,0.928841309823678,0.90979381443299,0.898921832884097,0.896341463414634,0.913669064748201,0.898581560283688,0.910477453580902,0.915575916230366,0.894805194805195,0.895833333333333,0.897058823529412,0.895038167938931,0.895502645502645,0.915057915057915,0.920025188916877,0.90894819466248,0.906528189910979,0.891242937853107,0.880453752181501,0.911616161616162,0.885234899328859,0.906332453825857,0.916666666666667,0.832575757575758,0.829635499207607,0.80952380952381,0.800664451827243,0.858321870701513,0.870771312584574
"R18-003-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916575790621592,0.911879895561358,0.90938864628821,0.896699266503667,0.935432230522946,0.913163716814159,0.920867526377491,0.916463414634146,0.902813299232737,0.905927835051546,0.911907654921021,0.914170506912442,0.906071019473081,0.914301929625426,0.914987405541562,0.924812030075188,0.899404761904762,0.923747276688453,0.929255319148936,0.90881913303438,0.913524057217165,0.915057915057915,0.889344262295082,0.919213973799127,0.911318553092182,0.909036860879905,0.942963752665245,0.838345864661654,0.828269484808454,0.82542113323124,0.804582210242588,0.855747126436782,0.854948805460751
"R18-004-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902796271637816,0.894736842105263,0.913686806411837,0.912568306010929,0.905298759864713,0.904052443384982,0.90272614622057,0.91206675224647,0.88,0.909987669543773,0.916083916083916,0.88556338028169,0.885913853317811,0.889527458492976,0.898678414096916,0.911192214111922,0.897206703910615,0.906761177753544,0.909022556390977,0.893229166666667,0.899737876802097,0.874380165289256,0.9140625,0.885985748218527,0.913438256658596,0.914754098360656,0.829896907216495,0.827469553450609,0.8,0.790972222222222,0.848466981132076,0.858226371061844
"R18-004-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904283801874163,0.896870554765292,0.909031413612565,0.901737967914438,0.898058252427185,0.904727793696275,0.893217893217893,0.892592592592593,0.904827586206897,0.903424657534247,0.903005464480874,0.888211382113821,0.899856938483548,0.897891963109354,0.893939393939394,0.902945113788487,0.904046997389034,0.905645161290323,0.914860681114551,0.898550724637681,0.876811594202899,0.911725955204216,0.899721448467967,0.905737704918033,0.912958115183246,0.827014218009479,0.816528925619835,0.793824701195219,0.796360485268631,0.846372688477952,0.840845070422535
"R18-005-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884519350811486,0.892113910186199,0.900681044267877,0.915584415584416,0.917283950617284,0.873856209150327,0.911417322834646,0.906875,0.894799054373522,0.913551401869159,0.903225806451613,0.909148665819568,0.912472647702407,0.885505481120585,0.910654827968923,0.905021834061135,0.878048780487805,0.913245033112583,0.913725490196078,0.890728476821192,0.902466367713004,0.904593639575972,0.896614268440145,0.914301310043668,0.821520618556701,0.82425068119891,0.813385826771653,0.809027777777778,0.827626918536009,0.842105263157895
"R18-006-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915647921760391,0.889027431421446,0.877922077922078,0.874829931972789,0.909400544959128,0.898884239888424,0.90612516644474,0.909499358151476,0.886804657179819,0.888387096774194,0.88943661971831,0.881627620221948,0.896437994722955,0.89041095890411,0.916870415647922,0.902325581395349,0.896265560165975,0.881780250347705,0.856140350877193,0.914694894146949,0.882314694408322,0.907894736842105,0.900735294117647,0.828737300435414,0.825264750378215,0.813167259786477,0.79153605015674,0.855263157894737,0.858072916666667
"R18-006-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902993348115299,0.885882352941176,0.901468788249694,0.909846547314578,0.895213454075032,0.919805589307412,0.918013856812933,0.895402298850575,0.905466970387244,0.903286978508217,0.899245689655172,0.905840286054827,0.907103825136612,0.932764140875133,0.923766816143498,0.9148244473342,0.89922480620155,0.873146622734761,0.923413566739606,0.894028103044497,0.914677804295943,0.937433155080214,0.851758793969849,0.845238095238095,0.809815950920245,0.803908355795148,0.873847926267281,0.877133105802048
