"","R15-002","R15-006","R15-007","R15-009","R15-010.1","R15-010.2","R16-003-03","R16-004-01.1","R16-005-01","R16-006-01","R17-001-02","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01.1","R18-002-01.2","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02.1","R18-009-02.2","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02.1","R18-019-02.2","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02"
"R17-001-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937404580152672,0.88319734058628,0.951814058956916,0.940800262381109,0.936531585220501,0.932381776239908,0.928128689492326,0.869719350073855,0.847074084750649,0.836077411900635,0.832389937106918,0.826329331046312,0.831948424068768,0.807352043929225,0.823312535450936,0.841338937256079,0.849149922720247,0.828053652968037,0.868109069353883,0.84263494967978,0.827780996523754,0.836055656382335,0.827299270072993,0.842814371257485,0.845899669570442,0.835407591785936,0.833678909952607,0.855813243820568,0.818255776114546,0.835984095427435,0.832194705380017,0.819783616692427,0.836995785671282,0.838289962825279,0.811190276613579,0.845984112974404,0.84076990376203,0.818933024064946
"R17-002-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891592920353982,0.951498127340824,0.941317556763671,0.93730135798902,0.930680539932508,0.932872371074618,0.879493816508484,0.850069735006973,0.844444444444444,0.839110429447853,0.837280579548621,0.842119944211994,0.819769162474105,0.826609560652114,0.847635726795096,0.858298382264829,0.84106696304529,0.874173137762439,0.847374666271136,0.831174317093776,0.84070796460177,0.833998290111143,0.846748323126276,0.850337144532395,0.841628959276018,0.84412955465587,0.864243323442137,0.827727129833386,0.844899087641692,0.83863825076114,0.829736211031175,0.840263543191801,0.841481703659268,0.823983739837398,0.851544622425629,0.84806708357021,0.828006728343145
"R17-002-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906725380304243,0.892940006629102,0.890316205533597,0.885679742074154,0.887060791968767,0.908867667121419,0.87949593069047,0.87374405076679,0.875246965848151,0.86562091503268,0.873202614379085,0.849278979478647,0.861089392754756,0.869820065430752,0.881306053811659,0.869843342036554,0.89855266684535,0.855481727574751,0.854958787556501,0.867812929848693,0.867336010709505,0.872197922361946,0.87609409190372,0.870208568207441,0.880363932645301,0.873748609566185,0.85575221238938,0.872531185031185,0.868017666926474,0.857627118644068,0.862650933040615,0.857660167130919,0.847968069666183,0.883427343540156,0.877774806097887,0.857500659108885
"R17-003-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948378164556962,0.950535252860834,0.949962935507784,0.965866466616654,0.87413528055342,0.834888059701492,0.828330206378987,0.836747759282971,0.82566765578635,0.830048345109706,0.804646464646465,0.852035203520352,0.834253054789121,0.842233999184672,0.826636904761905,0.871110257395313,0.832794830371567,0.812051378919531,0.824055666003976,0.816711077274458,0.830262642101137,0.831566548881037,0.818013951579811,0.823745173745174,0.851416035101715,0.800087489063867,0.829390018484288,0.823811279026907,0.802121583027336,0.825484764542936,0.826883491148621,0.779603223806572,0.83421052631579,0.833396013538924,0.818829707426857
"R17-004-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934657270980141,0.937227414330218,0.93375796178344,0.871872995509942,0.853502188868043,0.845159255755282,0.837430747922438,0.833125972006221,0.84122779682144,0.824625623960067,0.822356215213358,0.845160235448005,0.858857336037863,0.83587193036991,0.87487922705314,0.846128170894526,0.836699274218996,0.837247767118756,0.833545108005083,0.846279908226811,0.848024812275547,0.836496103015927,0.838130659767141,0.861055444221777,0.824580207216863,0.844454742045104,0.841731066460587,0.824108658743633,0.841897233201581,0.841848739495798,0.816987329892069,0.852687140115163,0.846507936507937,0.830351537978657
"R17-004-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.929621562755241,0.932504192286193,0.873990531885269,0.847004856988667,0.836720867208672,0.835439318248604,0.835482138060704,0.840117836100696,0.810826210826211,0.824360341151386,0.848284589426322,0.855677549841086,0.834803528468324,0.874344103838719,0.846371882086168,0.828163265306122,0.840986394557823,0.832377049180328,0.844658836689038,0.845191226096738,0.840790993071594,0.840343110127283,0.860625179237167,0.822168087697929,0.839442231075697,0.834929502527268,0.822370327441321,0.8394611282627,0.841105354058722,0.827559661277906,0.848059454995871,0.843013698630137,0.827800269905533
"R17-005-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927709227467811,0.871652081675948,0.844135802469136,0.836695112490303,0.831210191082803,0.831967213114754,0.837423312883436,0.805970149253731,0.820284697508897,0.838597430406852,0.894722450095707,0.829768270944741,0.873782574361674,0.843394694098538,0.830396475770925,0.832928802588997,0.868777690904352,0.846430474160895,0.847430406852248,0.83840877914952,0.844823032223983,0.856968215158924,0.823190077877127,0.838627700127065,0.834646670055923,0.824007717750827,0.844126304522344,0.842802512974597,0.814481268011527,0.849358134660728,0.843203756848422,0.823582474226804
"R17-007-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873831775700935,0.849387972325705,0.841388518024032,0.834538617298235,0.846082827749934,0.838347849036685,0.8117448721551,0.830486202365309,0.844314706700028,0.878951865565366,0.848031496062992,0.873132301005162,0.847697922515441,0.822079314040729,0.835146443514644,0.832881906825569,0.841770401106501,0.844861111111111,0.837235865219874,0.860557224801967,0.856379988757729,0.840292275574113,0.835883905013193,0.832939942302649,0.8363196814562,0.83861551292744,0.835558080090883,0.814562002275313,0.847120843471208,0.843126684636119,0.823239060832444
"R17-008-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906544502617801,0.903876582278481,0.889737065309584,0.89475051975052,0.901897089397089,0.874481614597733,0.880384016606124,0.88125,0.903878348214286,0.897405966277562,0.919423692636073,0.871025711915952,0.878446447507953,0.896589658965897,0.897203728362184,0.887799564270152,0.893483023001095,0.89986013986014,0.907008086253369,0.883370226895407,0.884705882352941,0.899250839576337,0.891793942531711,0.888233642235327,0.879052029419777,0.872805795486208,0.866556534508076,0.903558052434457,0.902487961476725,0.884716386554622
"R18-002-01.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930025125628141,0.898803046789989,0.891522447955857,0.903980971457186,0.892143983184446,0.878331257783313,0.897753982763124,0.908981233243968,0.903596403596404,0.905684754521964,0.879228329809725,0.882315521628499,0.895354974927421,0.892146863844977,0.89859228362878,0.903039832285115,0.908616537329409,0.9135163127913,0.891506922257721,0.930504651818438,0.901571856287425,0.88692403486924,0.88102937213689,0.890579900288638,0.890729361474753,0.877430555555556,0.911319301848049,0.90640204865557,0.877263581488934
"R18-002-01.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891090461874829,0.898563508064516,0.912744116174261,0.910530482977039,0.888248559258331,0.888128454856541,0.895968614718615,0.906649937264743,0.894771071800208,0.86698717948718,0.887979539641944,0.901916422677668,0.89548969072165,0.8861852433281,0.893479408658923,0.901756756756757,0.911871908357199,0.878812199036918,0.940503109101187,0.905835211620336,0.892115143929912,0.88815434430653,0.877303844128489,0.872512103281334,0.873764124293785,0.916452111225541,0.919005923255215,0.89432336543335
